person,mean_all,weighted_mean,core_percentile_40,largest_cluster_center
Alesandrova Marina,0.17644544,-0.043538205,0.3677196,-0.020906214
Angel Baby,0.049196932,0.42715508,0.42266074,0.69500315
Anna Chipovskaya,-0.047787152,0.05045203,-0.22677046,-0.044142447
Anne Hathaway,-0.05730904,-0.3395888,-0.22448081,0.28856823
Anya Taylor Joy,0.18343697,0.12281245,0.07942467,-0.122919224
Aoi Yu,0.17827049,0.13281141,0.10113846,-0.46934655
Aoshima Kokoro,0.08600154,-0.08673528,-0.013238667,-0.69081366
Aragaki Yuko,-0.07189168,-0.013893254,0.10634688,-0.7311052
Arimura Kasumi,-0.018917847,-0.23798051,-0.031800613,-0.3541515
Ashahina Aya,0.12972133,0.024916593,0.09151095,0.030465709
Asuka Saito,-0.053865194,0.014850319,0.049898196,-0.34027115
Ayaka Konno,0.039046336,-0.10315745,-0.13731112,-0.7456739
Bae Suzy,-0.022205984,0.07376522,0.5033559,0.43668902
Bao Thượng Ân,-0.06753566,-0.3491303,-0.2074844,0.38699344
Blake Lively,-0.13112254,-0.19829513,-0.45078054,-0.6219646
Bạch Băng,-0.07431871,0.2724956,0.42825985,0.12902772
Can Đình ĐÌnh,-0.13601768,0.11385722,0.24314892,0.82612205
Catherine zeta jones,0.070222214,-0.0026997472,-0.04459751,-0.10388492
Chae Soo Bin,0.048183877,0.06937513,-0.09672396,-0.05518714
Choi Ji Woo,0.12195214,-0.21372311,-0.2843114,-0.03579591
Choi Ye-won,-0.116046496,-0.43175602,-0.44019866,-0.6759617
Chu Lâm,0.09273881,0.38874814,0.18270627,0.044824988
Châu Huệ Mẫn,-0.029485129,0.2545508,0.41328603,-0.07216513
Chương Nhược Nam,0.23404785,0.063945115,0.19888096,0.5591637
Cúc Tịch Y,0.043685917,0.107111916,-0.34102112,0.31981748
Cổ Lực Na Trát,0.13728334,0.09363663,0.21004283,0.7319212
Daran Tasha,-0.022524469,-0.26139244,0.11684495,0.31572545
Deguchi Natsuki,-0.010422275,-0.033624303,0.02449282,-0.50584984
Deva Cassel,0.023388341,-0.18678018,0.004922934,0.26495817
Diana Kruger,-0.005952332,-0.2590384,-0.17392607,0.2912703
Diệp Bảo Ngọc,-0.11755702,-0.20327735,-0.33088562,-0.08194012
Diệp Toàn Chân,0.051152676,0.0954762,-0.091892764,0.22806765
Dương Mịch,0.065400094,-0.021891166,0.24254861,0.28290176
Elina Karinova,0.028498957,-0.24704893,-0.26444504,-0.14837205
Elle Fanning,0.017820194,-0.37517586,-0.39190152,-0.06503021
Fujiyoshi Karin,-0.08031877,-0.18337466,0.03877817,0.07698184
Fukada Kyoko,0.006144746,0.10497458,0.13281639,-0.505827
Goo Yoon Young,0.015821366,0.47460315,0.17712824,-0.21986042
Grace Kelly,-0.07811977,-0.5629965,-0.6569777,-0.6441723
Hamabe Minami,0.08692702,-0.17318292,0.1541452,-0.11037723
Han Chae-young,-0.22797354,-0.21518844,-0.24197075,-0.19670194
Han Hyo-joo,-0.1420394,0.124427125,0.2532412,-0.013308252
Hashimoto Kana,-0.028157722,0.085852355,0.39564386,0.6313535
Heidy Larmar,0.09122984,-0.16870931,-0.14985941,-0.11375089
Hirose Suzu,-0.011180718,-0.117024496,0.12872832,-0.16648635
Hong Hwa-yeon,0.08960262,0.036729705,0.3592693,0.12781405
Hoshi Moeka,0.15026562,-0.13349345,-0.093544066,-0.1467039
Hoài Thu,0.11685905,-0.2786825,-0.24772887,-0.023713056
Ikeda Eliza,0.005860148,-0.0413587,0.103439346,0.090428635
Im Jinnah,-0.06550399,-0.1367233,0.041741926,0.44619143
Imada Mio,0.14548814,0.2527544,0.31924325,-0.3226274
Imoto Ayaka,0.02802761,-0.020627238,-0.092154324,-0.64209247
Ishihara Satomi,-0.13020764,0.07825402,0.157177,-0.4147682
Italy Monoca,-0.055221654,-0.43005553,-0.43935907,-0.051864523
Jang Gyu-ri,-0.18401158,-0.053269297,-0.18301766,-0.016280662
Jang Won-young,-0.0035403438,0.0026407037,-0.29027402,0.105461374
Jennifer Connely,-0.0069511337,-0.06379769,-0.0033476083,-0.22069645
Jung Eun-chae,-0.047444817,0.15002832,-0.034491498,0.13687533
Kang Hye Won,0.13462365,-0.15193973,0.02992077,-0.081495434
Karina,0.12435278,0.18099956,0.042167578,-0.15576385
Katsumura Mika,-0.011984424,-0.06257038,0.25591817,-0.26036415
Keira Knightkey,-0.029590352,0.26803097,0.35125878,-0.42546323
Kim Claudia,-0.2984418,-0.38640103,-0.08950638,0.012642279
Kim Hae Ri,-0.17307438,-0.44201833,-0.5079288,-0.08229275
Kim Hee Sun,0.050478086,0.15076861,0.20495386,-0.3441379
Kim Ji Won,-0.04709012,0.44403884,0.5121995,0.633216
Kim Jung Won,0.01890846,-0.4005278,-0.57653236,-0.11837054
Kim Tae Hee,-0.04775879,0.22832721,0.33422062,0.5920274
Kim Yoo-jung,0.06416742,0.31215063,0.2748075,-0.07689343
Komatsu Nana,-0.12121336,0.080017,0.21350369,-0.057250496
Kudo Mio,0.1145492,-0.15194468,0.058744103,-0.56461126
Kudo Shizuka,0.0025357981,-0.24400643,-0.29305896,-0.5207689
Lee Ju Eun,-0.051770918,-0.46031314,-0.6170273,-0.18216018
Lee Ye bin,-0.031506687,-0.1742199,-0.3803563,0.21656393
Lily Collins,-0.011090106,0.27694595,0.17757577,0.598532
Lynne Frederick,0.18217261,0.121201,0.192752,-0.19161794
Lâm Chí Linh,-0.0035975508,-0.044616785,0.06489458,0.065711096
Lâm Duẫn,0.14029986,-0.017186845,-0.12066673,-0.39672217
Lý Gia Hân,-0.0010865113,0.43829584,0.47408453,0.44486532
Lý Thuần,0.1917892,-0.15610315,0.115722924,-0.11820179
Lý Uyển Đát,-0.14833483,0.120181605,0.064495794,0.5841981
Lưu Hạo Tồn,0.12367213,0.023202661,0.167903,0.23857749
Lưu Thi Thi,-0.17394245,0.0039266143,0.06664996,0.706968
Lưu Tâm Du,-0.068573855,0.35677943,0.28001487,0.51416147
Mai Davika,0.17469007,0.11517022,0.4799053,0.098468006
Mao Hiểu Đồng,0.05832246,-0.04647156,-0.009768747,0.13789552
Matsuzaka Keiko,0.06398249,0.4308642,-0.118265145,-0.28514668
Megan Fox,-0.12547466,-0.21599215,-0.21695678,-0.50327784
Millie Brady,-0.021863053,0.021658324,0.024627902,-0.29974464
Miriam Leone,-0.16282727,0.11063143,-0.038565867,-0.06355523
Miyazawa Rie,0.13934559,0.31472784,0.17835923,-0.350344
Miyoshi Ayaka,0.045681994,-0.24538966,-0.24583614,-0.56243265
Monica Belluci,0.04106246,-0.14263095,-0.24699295,0.5003026
Mạnh Tử Nghĩa,0.18144837,0.31822395,0.12572403,0.562847
Nagano Mei,0.00094719656,-0.01123447,0.0661722,-0.7656061
Nagasawa Masami,0.055565137,0.14494042,0.05606773,-0.7497117
Nakama Yukie,0.120921575,-0.17176515,0.16969563,-0.4633484
Nakamori Akina,-0.13228951,-0.31098405,-0.28608403,-0.66472286
Natsukawa Yui,0.08303721,0.10327147,-0.2772655,-0.56722957
Nguyễn Ngoc Huyền,-0.03647253,-0.0067731133,-0.2961028,0.1357965
Nicole Kidman,-0.08790864,0.015499346,0.08098984,-0.22819932
Oh Se Young,-0.005878086,0.38959482,0.17976663,-0.21786213
Okada Nana,0.07307951,0.4059248,-0.115384236,-0.34359968
Ozawa Mayu,0.17219293,0.12961844,0.33963904,-0.07950567
Park Jihyun,-0.03511791,0.39428836,0.26393166,0.4946416
Phương Anh Đào,-0.10247321,0.077777006,-0.123498715,0.32360128
Phương Lôi,0.022836413,-0.19686764,-0.39295775,-0.25493878
Phạm Băng Băng,0.07006506,0.066200905,0.29113433,0.28490868
Quan Chi Lâm,0.0005111183,0.06930356,0.22490904,0.44582957
Quan Hiểu Đồng,-0.020514507,-0.2515034,-0.3544104,0.29589692
Quan Tuyết Doanh,0.1530581,-0.015506952,-0.016618341,0.49893898
Rebecca Ferguson,-0.08233887,-0.32085958,-0.20805153,-0.6125624
Rena Nounen,-0.0658197,-0.047111798,0.15973073,-0.50791246
Riho Takada,-0.094276756,-0.38720158,-0.28020138,-0.493293
Roh Jeong Un,-0.027664047,0.004975523,0.19273478,-0.16860387
Sana,0.03311683,-0.4873569,-0.4968065,-0.34257755
Sasaki Nozomi,0.09265964,-0.12294735,0.25049618,-0.50189286
Seino Nana,0.121855296,-0.14583193,-0.50377226,-0.37460533
Shin Se-kyung,0.00697348,0.29599875,0.15286703,0.23268604
Shiraishi Sei,0.09823565,-0.06208072,0.20567776,-0.3195543
Son Ye-jin,-0.03524805,-0.09867157,0.22776444,0.14580533
Song Hye-kyo,0.061604664,0.17242035,0.32592064,-0.3815189
Tanaka Yuko,0.028429452,-0.016355513,-0.23668586,-0.6696169
Tanakashi Rin,-0.102556884,-0.12545507,0.034119375,-0.57791007
Tao Tsuchiya,-0.030046426,0.052855782,0.0916585,-0.44205087
Thu Hà,0.027002232,0.45270455,0.55961615,-0.31370834
Thư Nguyễn,0.07763927,0.054509304,-0.012427034,0.14860003
Thầm Nguyệt,-0.1449303,-0.45232245,-0.4274394,-0.12915003
Thẩm My Trang,0.15461604,-0.07852133,0.12145684,0.007174762
Toda Erika,-0.14931174,0.0577035,0.35663897,-0.2770097
Triệu Kim Mạch,0.014225416,0.21345526,-0.19715932,0.029343281
Triệu Lệ Dĩnh,0.004247169,0.19523123,0.36913133,0.45906168
Trương Bá Chi,0.05592782,-0.1881138,-0.053142384,-0.5229482
Trương Dư Hi,0.061261293,0.10448744,0.003012199,0.4018094
Trương Hinh Dư,0.0701951,0.17568074,0.10800074,0.69802535
Trương Miểu Di,-0.06532333,-0.23969416,-0.27359882,0.064538755
Trương Mẫn,-0.07406484,0.4953742,0.16253144,0.46950313
Trương Thiên Ái,0.078025565,-0.079478174,0.005606141,0.34165874
Trương Tịnh Nghi,-0.27521697,-0.17587884,-0.27873206,0.55427074
Trương Vũ Kỳ,0.106728986,0.4270853,0.1359191,0.73546976
Trần Hồng,0.06401403,0.1972466,0.35087156,0.5663157
Trần Đức Dung,-0.0018643367,0.7385156,0.26853687,0.42807838
Trịnh Sảng,0.00017971959,0.22328179,0.16600314,-0.359058
Tsuyu,0.066964224,-0.49153703,-0.34936652,-0.24227194
Tôn Nhất Ninh,0.08468502,0.3835746,0.09828228,0.58148986
Tưởng Cần Cần,0.03980127,0.0073231347,0.25029093,0.34742904
Tưởng Hân,-0.27208585,-0.014099153,-0.008703255,0.7445677
Tần Lam,0.14283955,0.6551202,0.30799145,-0.10761921
Tống Dật,0.16512549,-0.2343734,-0.20169334,0.034363717
Từ Hy Viên,-0.01938212,0.65120983,0.64571893,0.36769068
Vương Sở Nhiên,0.0684808,-0.025420647,0.0060307863,0.7785276
Vương Tổ Hiền,0.13270116,0.5749657,0.3592132,-0.13858494
Vương Tử Thuần,0.08705223,0.060301937,0.1873386,0.5701577
Vương Ảnh Lộ,0.12562318,0.12324123,0.13162129,0.113828436
Vạn Thiến,0.02658207,0.102461174,0.16738822,0.78916746
Winona Ryder,-0.38727787,-0.11826612,-0.38032192,-0.0855282
Yoshitaka Yuriko,-0.04413177,0.3000362,0.13689066,-0.1184632
Yui Asakura,-0.04789813,0.040105306,0.116612285,0.28885356
Ân Đào,-0.014515872,0.16971393,0.0879534,0.46218482
Điền Hi Vi,0.107763015,-0.26437128,0.120921865,-0.08710905
Đại Lộ Oa,0.161144,0.097839065,0.3443205,0.21209514
Địch Lệ Nhiệt Ba,-0.42699048,-0.042411625,-0.066449225,0.51920813
Đồng Lệ Á,0.10844737,0.060499918,0.20561786,0.61630195
Đỗ Băng Nhạn,0.02537574,0.15677693,0.12844846,-0.11593781
